ContactName,ContactEmail,InvoiceDate,InvoiceID,OutstandingBalance
Shane,Shane@lockstep.io,2020-10-08,b8d79227-47e1-4ac1-bfea-f04c22b71e48,1718.0
Kelley,Kelley@lockstep.io,2020-10-08,2f9ac472-918c-4258-9384-ef6648f32ea9,1173.0
Carina,Carina@lockstep.io,2020-10-08,23c57f74-b643-47bf-a82b-c90984b1fc1b,4610.0
Loc,Loc@lockstep.io,2020-10-08,55c6b43c-1c9a-4159-a5fa-312b5ce90efb,856.0
Tyler,Tyler@lockstep.io,2020-11-27,46d7338c-ca68-4cfc-ad91-b91b16e83e30,2727.0
Ryan,Ryan@lockstep.io,2020-11-27,3f5a39af-856a-4fcb-b6b9-404581318c80,2127.0
Stephen,Stephen@lockstep.io,2021-01-06,eff33627-5266-46e3-a8d3-bd25a504ad2d,1131.0
Ted,Ted@lockstep.io,2021-01-06,87fbd453-7451-4c43-97b4-3e938f6b56a9,3698.0
Carlos,Carlos@lockstep.io,2021-01-06,e4cd77b6-fb5d-40ab-aa58-fc461e7baf6a,1988.0
Amin,Amin@lockstep.io,2021-01-06,39f2f408-7c14-4fbb-9fca-e6298079ffbf,2355.0
